Reported m/z,Reported ion,Monoisotopic Mass (Da),Molecular Formula,Reported compound name,Genus,Endnote Reference,ref
329,[M+H]+,330.25589,C22H34O2,Clupanodonic Acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
,,332.027252,C14H13BrN4O,6-bromoaplysinopsin,Astroides calycularis ,"{Cachet, 2013 #6337}","(Cachet et al., 2013)"
333,[M+H]+,332.121979,C13H20N2O8,Shinorine ,Pocillopora ,"{Carignan, 2009 #6297}","(Carignan et al., 2009)"
331,[M+H]+,332.271515,C22H36O2,Adrenic Acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
333,[M+H]+,332.309,C13H20N2O8,Shinorine,Acropora,"{Rosic, 2015 #6290}","(Rosic et al., 2015)"
,,333.011292,C14H12BrN3O2,6-bromo-3'-deimino-3'-oxoaplysinopsin ,Tubastraea,"{Guella, 1998 #6340}","(Guella et al., 1988)"
333,[M+H]+,334.28717,C22H38O2,Docosatrienoic acid,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
337,[M+H]+,338.318481,C22H42O2,Erucic Acid,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
339,[M+H]+,340.334137,C22H44O2,Behenic Acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
,,344.2351,C22H32O3,10-hydroxydocosahexaenoic acid ,Madrepora ,"{Mancini, 1999 #6327}","(Mancini et al., 1999)"
347.0512,[M+H]+,346.042908,C15H15BrN4O,6-bromo-N-methylaplysinopsin,Astroides calycularis ,"{Cachet, 2013 #6337}","(Cachet et al., 2013)"
347,[M+H]+,346.137604,C14H22N2O8,Porphyra-334,Pocillopora ,"{Carignan, 2009 #6297}","(Carignan et al., 2009)"
,,346.2508,C22H34O3,10-hydroxydocosapentaenoic acid,Madrepora ,"{Mancini, 1999 #6327}","(Mancini et al., 1999)"
347,[M+H]+,346.336,C14H22N2O8,Porphyra-334 ,Acropora,"{Rosic, 2015 #6290}","(Rosic et al., 2015)"
,,348.2664,C22H36O3,10-hydroxydocosatetraenoic acid ,Madrepora ,"{Mancini, 1999 #6327}","(Mancini et al., 1999)"
351.2,[M-H]-,352.224976,C20H32O5,(-)-prostaglandin E2,Galaxea fascicularis ,"{Lohelaid, 2018 #6336}","(Lohelaid & Samel, 2018)"
351.2,[M-H]-,352.224976,C20H32O5,Prostaglandin D2,Galaxea fascicularis ,"{Lohelaid, 2018 #6336}","(Lohelaid & Samel, 2018)"
353.06696,M-,353.0655,C11H17N2O9S,Palythine-serine sulphate,Stylophora pistillata,"{Won, 1997 #6305}","(Won, Chalker, & Rideout, 1997)"
353.2,[M-H]-,354.240631,C20H34O5,(+)-prostaglandin F2a,Galaxea fascicularis ,"{Lohelaid, 2018 #6336}","(Lohelaid & Samel, 2018)"
367.082,M-,367.0811,C12H19N2O9S,Palythine-threonine sulphate,Stylophora pistillata,"{Won, 1997 #6305}","(Won et al., 1997)"
378.1368,[M+H]+,377.1297,C19H23NO5S,Symbioimine,Symbiodinium,"{Kita, 2004 #6312}","(Kita et al., 2004)"
376.1213,[M-H]-,377.1297,C19H23NO5S,Symbioimine,Symbiodinium,"{Kita, 2004 #6312}","(Kita et al., 2004)"
296,[M-SO3H]-,377.1297,C19H23NO5S,Symbioimine,Symbiodinium,"{Kita, 2004 #6312}","(Kita et al., 2004)"
383,[M+H]+,382.104614,C13H22N2O9S,Catenelline,Rhabdoniaceae,"{Hartman, 2015 #6304}","(Hartmann, Becker, Karsten, Remias, & Ganzera, 2015)"
700 - 960,,385.11377,C13H24NO10P,Phosphatidylserine,Aiptasia,"{Garret, 2013 #6193}","(Garrett, Schmeitzel, Klein, Hwang, & Schwarz, 2013)"
,,386.169159,C18H22N6O4,Orthidine A,Astroides calycularis ,"{Cachet, 2013 #6337}","(Cachet et al., 2013)"
,,386.169159,C18H22N6O4,Orthidine D,Astroides calycularis ,"{Cachet, 2013 #6337}","(Cachet et al., 2013)"
880 - 950,,390.056335,C11H19O13P,Phosphatidylinositol,Aiptasia,"{Garret, 2013 #6193}","(Garrett et al., 2013)"
,,398.137238,C15H22N6O5S,Acylcarnitine C16:0,Pocillopora ,"{Sogin, 2016 #6262}","(Sogin, Putnam, Anderson, & Gates, 2016)"
,,402.277,C25H38O4,Cladocoran B,Cladocora cespitosa ,"{Fontana, 1998 #6334}","(Fontana, Ciavatta, & Cimino, 1998)"
404.154,[M-H]-,405.16098,C21H27NO5S,Neosymbioimine,Symbiodinium,"{Kita, 2005 #6313}","(Kita et al., 2005)"
324,[M-SO3H]-,405.16098,C21H27NO5S,Neosymbioimine,Symbiodinium,"{Kita, 2005 #6313}","(Kita et al., 2005)"
,,416.329,C27H44O3,Smilagenin,Echinopora lamellosa,"{Sanduja, 1984 #6333}","(Sanduja, Martin, et al., 1984)"
,,444.287567,C27H40O5,Cladocoran A ,Cladocora cespitosa ,"{Fontana, 1998 #6334}","(Fontana et al., 1998)"
,,458.376007,C30H50O3,Soyasapogenol B ,Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
471.3466,[M+H]+,470.339585,C30H46O4,"15_,22_,24-trihydroxyolean-11,13-diene-3-one ",Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
,,470.3396,C30H46O4,Glycyrrhetic acid ,Echinopora lamellosa,"{Sanduja, 1984 #6333}","(Sanduja, Martin, et al., 1984)"
482.36,[M+H]+,481.35321,C24H52NO6P,Lyso-PAF C-16 ,Scleractinia,"{Quinn, 2016 #6269}","(Quinn et al., 2016)"
,,495.3325,C24H50NO7P,LPC(16:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,498.3709,C32H50O4,3_-acetoxy-11-deoxo-glycyrrhetic acid,Echinopora lamellosa,"{Sanduja, 1984 #6333}","(Sanduja, Martin, et al., 1984)"
498.321,,499.329773,C30H45NO5,Zooxanthellamine,Symbiodinium,"{Nakamura, 1998 #676}","(Nakamura et al., 1998)"
503.3368,[M+H]+,502.3294,C30H46O6,"3_,7_,15_,24-tetrahydroxyolean-12-ene-11,22-dione ",Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
509.2411,[M+H]+,508.2335,C28H28N8O2,Tubastrindole B ,Tubastraea,"{Iwagawa, 2003 #6332}","(Iwagawa et al., 2003)"
510.2254,[M+H]+,509.2175,C28H27N7O3,Tubastrindole C,Tubastraea,"{Iwagawa, 2003 #6332}","(Iwagawa et al., 2003)"
,,509.384521,C26H56NO6P,Lyso-PAF C-18,Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
510.42,[M+H]+,509.384521,C26H56NO6P,Lyso-PAF C-18 ,Scleractinia,"{Quinn, 2016 #6269}","(Quinn et al., 2016)"
533,[M+Na]+,510.202,C28H26N6O4,Cycloaplysinopsin A ,Dendrophylliidae ,"{Mancini, 2003 #6338}","(Mancini, Guella, Zibrowius, & Pietra, 2003)"
509,[M-H]-,510.202,C28H26N6O4,Cycloaplysinopsin A ,Dendrophylliidae ,"{Mancini, 2003 #6338}","(Mancini et al., 2003)"
510,M+,510.3345,C32H46O5,Echinolactone A,Echinopora lamellosa,"{Sanduja, 1984 #6329}","(Sanduja, Weinheimer, Alam, Hossain, & Van der Helm, 1984)"
,,512.3502,C32H48O5,3_-acetoxyglycyrrhetic acid ,Echinopora lamellosa,"{Sanduja, 1984 #6333}","(Sanduja, Martin, et al., 1984)"
,,523.3638,C26H54NO7P,LPC(18:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
547.2186,[M+Na]+,524.2284,C28H28N8O3,Cycloaplysinopsin C ,Tubastraea,"{Meyer, 2009 #6318}","(Meyer et al., 2009)"
549,[M+Na]+,526.196,C28H26N6O5,Cycloaplysinopsin B ,Dendrophylliidae ,"{Mancini, 2003 #6338}","(Mancini et al., 2003)"
525,[M-H]-,526.196,C28H26N6O5,Cycloaplysinopsin B ,Dendrophylliidae ,"{Mancini, 2003 #6338}","(Mancini et al., 2003)"
537,[M+H]+,536.438232,C40H56,Betacarotene,Symbiodinium,"{Venn, 2006 #6285}","(Venn, Wilson, Trapido-Rosenthal, Keely, & Douglas, 2006)"
,,551.3951,C28H58NO7P,LPC(20:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
554.5153,[M+H]+,553.507019,C34H67NO4,Symbioramide-C16,Symbiodinium,"{Nakamura, 1998 #676}","(Nakamura et al., 1998)"
567,[M+H]+,566.412354,C40H54O2,Diatoxanthin,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
,,567.3325,C30H50NO7P,LPC(22:6),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
582,[M+H]+,581.5383,C36H71NO4,Symbioramide,Symbiodinium,"{Kobayashi, 1988 #6317}","(Kobayashi et al., 1988)"
583,[M+H]+,582.407288,C40H54O3,Diadinochrome,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
583,[M+H]+,582.407288,C40H54O3,Diadinoxanthin,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
587.152,[M+H]+,586.1441,C28H27BrN8O2,Tubastrindole A,Tubastraea,"{Iwagawa, 2003 #6332}","(Iwagawa et al., 2003)"
601,,608.19104,C35H28MgN4O5,ChlorophyllæC2,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
622,M+,622.1294,C30H40Br2O4,Echinolactone B ,Echinopora lamellosa,"{Sanduja, 1984 #6329}","(Sanduja, Weinheimer, et al., 1984)"
631,[M+H]+,630.355652,C39H50O7,cis-peridinin,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
631,[M+H]+,630.355652,C39H50O7,Peridinin,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
630,[M+H]+,630.355652,C39H50O7,Peridinin (and two related norcarotenoids),Symbiodinium,"{Suzuki, 2003 #6299}","(Suzuki et al., 2003)"
,,640.5067,C41H68O5,DG(38:6),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
643,[M+H]+,642.428406,C42H58O5,Dinoxanthin,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
,,668.9999,C30H25Br2NO7,Tubastraine,Tubastraea micrantha,"{Alam, 1988 #6330}","(M. Alam, Sanduja, & Wellington, 1988)"
,,705.5309,C38H76NO8P,PC(30:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,723.5203,C41H74NO7P,PE(P-36:4),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
863.7,,726.558716,C49H74O4,Ubiquinone-10 ,Acropora,"{Lutz, 2014 #6289}","(Lutz et al., 2014)"
,,733.5622,C40H80NO8P,PC(16:0/16:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,743.5829,C42H82NO7P,PC(P-34:1),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
749.6,,748.615845,C53H80O2,Plastoquinone-9 ,Acropora,"{Lutz, 2014 #6289}","(Lutz et al., 2014)"
,,749.5359,C43H76NO7P,PE(P-38:5),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,751.5516,C43H78NO7P,PE(P-38:4),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,759.5778,C42H82NO8P,PC(18:1/16:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,776.6894,C49H92O6,TG(46:1),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,777.5309,C44H76NO8P,PC(36:6),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,778.705,C49H94O6,TG(46:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,779.5465,C44H78NO8P,PC(36:5),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,781.5622,C44H80NO8P,PC(36:4),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,783.560059,C44H82NO6PS,Arachidonoylthio-PC,Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,785.5935,C44H84NO8P,PC(36:2),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,787.6091,C44H86NO8P,PC(36:1),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
795.5,,794.621338,C54H82O4,Ubiquinone-9 ,Acropora,"{Lutz, 2014 #6289}","(Lutz et al., 2014)"
,,792.605738,C51H92O6,TG(48:3),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,790.590138,C51H94O6,TG(48:2),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,788.574538,C51H96O6,TG(48:1),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,805.5622,C46H80NO8P,PC(38:6),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,806.7363,C51H98O6,TG(48:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,807.5778,C46H82NO8P,PC(38:5),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,809.5935,C46H84NO8P,PC(38:4),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
813,,814.576,C53H74N4O3,Pyrophaeophytinæa,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
,,812.5604,C53H92O6,TG(50:5),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
730 - 825 a,,826.490112,C44H74O12S,Sulfoquinovosyldiacylglycerol ,Symbiodinium,"{Garret, 2013 #6193}","(Garrett et al., 2013)"
,,824.474512,C53H94O6,TG(50:4),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,822.458912,C53H96O6,TG(50:3),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,830.7363,C53H98O6,TG(50:2),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,833.5935,C48H84NO8P,PC(40:6),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,834.7676,C53H102O6,TG(50:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
